timestamp_iso,memory_total_bytes,memory_available_bytes,memory_used_bytes,server_pid,server_rss_kb,server_vsz_kb,server_stat
2026-05-21T14:46:27Z,133975175168,131793264640,2181910528,9567,3708,7880,S
2026-05-21T14:46:32Z,133975175168,131491266560,2483908608,9567,3712,7880,S
2026-05-21T14:46:37Z,133975175168,131439931392,2535243776,9567,624592,5258388,Rl
2026-05-21T14:46:42Z,133975175168,131107471360,2867703808,9567,978564,8131232,Rl
2026-05-21T14:46:47Z,133975175168,130622627840,3352547328,9567,985888,8138012,Sl
2026-05-21T14:46:52Z,133975175168,130930675712,3044499456,9567,987872,8503404,Rl
2026-05-21T14:46:57Z,133975175168,130405793792,3569381376,9567,1160740,8780452,Sl
2026-05-21T14:47:02Z,133975175168,130122203136,3852972032,9567,1160812,8780452,Sl
2026-05-21T14:47:07Z,133975175168,130120421376,3854753792,9567,1160908,8780452,Sl
2026-05-21T14:47:12Z,133975175168,130090332160,3884843008,9567,1160908,8780452,Sl
2026-05-21T14:47:17Z,133975175168,130078334976,3896840192,9567,1160908,8780452,Sl
2026-05-21T14:47:22Z,133975175168,130067427328,3907747840,9567,1160908,8780452,Sl
2026-05-21T14:47:27Z,133975175168,130062630912,3912544256,9567,1160908,8780452,Sl
2026-05-21T14:47:32Z,133975175168,130058207232,3916967936,9567,1160908,8780452,Sl
2026-05-21T14:47:37Z,133975175168,130054447104,3920728064,9567,1160908,8780452,Sl
2026-05-21T14:47:42Z,133975175168,129821048832,4154126336,9567,1160908,8780452,Sl
2026-05-21T14:47:48Z,133975175168,130049708032,3925467136,9567,1160908,8780452,Sl
2026-05-21T14:47:53Z,133975175168,130003632128,3971543040,9567,1160908,8780452,Sl
2026-05-21T14:47:58Z,133975175168,127256977408,6718197760,9567,1160908,8780452,Sl
2026-05-21T14:48:03Z,133975175168,116707262464,17267912704,9567,1160908,8780452,Sl
2026-05-21T14:48:08Z,133975175168,111071068160,22904107008,9567,1160908,8780452,Sl
2026-05-21T14:48:13Z,133975175168,105674637312,28300537856,9567,1160908,8780452,Sl
2026-05-21T14:48:18Z,133975175168,99853938688,34121236480,9567,1160908,8780452,Sl
2026-05-21T14:48:23Z,133975175168,94799847424,39175327744,9567,1160908,8780452,Sl
2026-05-21T14:48:28Z,133975175168,117606866944,16368308224,9567,1160908,8780452,Sl
2026-05-21T14:48:33Z,133975175168,117706158080,16269017088,9567,1160908,8780452,Sl
2026-05-21T14:48:38Z,133975175168,114539438080,19435737088,9567,1160908,8780452,Sl
2026-05-21T14:48:43Z,133975175168,114102546432,19872628736,9567,1160908,8780452,Sl
2026-05-21T14:48:48Z,133975175168,112086372352,21888802816,9567,1160908,8780452,Sl
2026-05-21T14:48:53Z,133975175168,109893660672,24081514496,9567,1160908,8780452,Sl
2026-05-21T14:48:58Z,133975175168,107596828672,26378346496,9567,1160908,8780452,Sl
2026-05-21T14:49:03Z,133975175168,106230779904,27744395264,9567,1160908,8780452,Sl
2026-05-21T14:49:08Z,133975175168,104554782720,29420392448,9567,1160908,8780452,Sl
2026-05-21T14:49:13Z,133975175168,102945472512,31029702656,9567,1160908,8780452,Sl
2026-05-21T14:49:18Z,133975175168,101621837824,32353337344,9567,1160908,8780452,Sl
2026-05-21T14:49:23Z,133975175168,100544614400,33430560768,9567,1160908,8780452,Sl
2026-05-21T14:49:28Z,133975175168,99294560256,34680614912,9567,1160908,8780452,Sl
2026-05-21T14:49:33Z,133975175168,98559447040,35415728128,9567,1160908,8780452,Sl
2026-05-21T14:49:38Z,133975175168,97121226752,36853948416,9567,1160908,8780452,Sl
2026-05-21T14:49:43Z,133975175168,96173338624,37801836544,9567,1160908,8780452,Sl
2026-05-21T14:49:48Z,133975175168,95421321216,38553853952,9567,1160908,8780452,Sl
2026-05-21T14:49:53Z,133975175168,95053979648,38921195520,9567,1160908,8780452,Sl
2026-05-21T14:49:58Z,133975175168,93167837184,40807337984,9567,1160908,8780452,Sl
2026-05-21T14:50:03Z,133975175168,92873445376,41101729792,9567,1160908,8780452,Sl
2026-05-21T14:50:08Z,133975175168,94047068160,39928107008,9567,1160908,8780452,Sl
2026-05-21T14:50:13Z,133975175168,94850379776,39124795392,9567,1160908,8780452,Sl
2026-05-21T14:50:18Z,133975175168,94597709824,39377465344,9567,1160908,8780452,Sl
2026-05-21T14:50:23Z,133975175168,109693292544,24281882624,9567,1160908,8780452,Sl
2026-05-21T14:50:28Z,133975175168,129528193024,4446982144,9567,1085364,8768784,Dl
2026-05-21T14:50:33Z,133975175168,130936143872,3039031296,9567,0,0,dead
2026-05-21T14:50:38Z,133975175168,131152928768,2822246400,9567,0,0,dead
2026-05-21T14:50:43Z,133975175168,131289456640,2685718528,9567,0,0,dead
2026-05-21T14:50:48Z,133975175168,131405578240,2569596928,9567,0,0,dead
2026-05-21T14:50:53Z,133975175168,131458134016,2517041152,9567,0,0,dead
2026-05-21T14:50:58Z,133975175168,131508625408,2466549760,9567,0,0,dead
2026-05-21T14:51:03Z,133975175168,131540738048,2434437120,9567,0,0,dead
2026-05-21T14:51:08Z,133975175168,131574587392,2400587776,9567,0,0,dead
