timestamp_epoch,mem_used_bytes,mem_total_bytes,python_rss_kb
1779383436,2473779200,133975175168,11772
1779383441,3086327808,133975175168,927856
1779383446,3995168768,133975175168,1136792
1779383451,4197814272,133975175168,1136928
1779383456,4818472960,133975175168,1136880
1779383461,5477785600,133975175168,1136924
1779383466,8156303360,133975175168,1136888
1779383471,6853672960,133975175168,1136852
1779383476,6911950848,133975175168,1136896
1779383481,6905999360,133975175168,1136880
1779383486,6865932288,133975175168,1136888
1779383491,6821191680,133975175168,1136916
1779383496,6788837376,133975175168,1136824
1779383501,6745841664,133975175168,1136968
1779383506,6705737728,133975175168,1136892
1779383511,6660653056,133975175168,1136872
1779383516,6616477696,133975175168,1136892
1779383521,6612205568,133975175168,1136928
1779383526,6563627008,133975175168,1136888
1779383531,6513385472,133975175168,1136892
1779383536,6457266176,133975175168,1136920
1779383541,5633142784,133975175168,1136888
1779383546,9838161920,133975175168,1136928
1779383551,10909966336,133975175168,1136836
1779383556,15596273664,133975175168,1136888
1779383561,16533671936,133975175168,1136872
1779383567,19713302528,133975175168,1136888
1779383572,9308782592,133975175168,1136844
1779383577,3263074304,133975175168,9312
1779383582,3032059904,133975175168,9308
1779383587,2903064576,133975175168,9276
1779383592,2825175040,133975175168,9276
1779383597,2791350272,133975175168,9252
1779383602,2784997376,133975175168,9256
1779383607,2784325632,133975175168,9276
