timestamp_epoch,mem_used_bytes,mem_total_bytes,python_rss_kb
1779383983,2431660032,133975175168,11796
1779383988,2907185152,133975175168,779068
1779383993,3658924032,133975175168,1136776
1779383998,4097626112,133975175168,1136932
1779384003,4419469312,133975175168,1136944
1779384008,5584945152,133975175168,1136972
1779384014,6946082816,133975175168,1136940
1779384019,6912774144,133975175168,1136944
1779384024,8133672960,133975175168,1136948
1779384029,11178639360,133975175168,1136944
1779384034,16484876288,133975175168,1136924
1779384039,17053831168,133975175168,1136976
1779384044,19917316096,133975175168,1136908
1779384049,23364575232,133975175168,1136940
1779384054,5787725824,133975175168,9244
1779384059,5406437376,133975175168,9244
1779384064,5032792064,133975175168,9236
1779384069,4663300096,133975175168,9248
1779384074,4341334016,133975175168,9224
1779384079,3993608192,133975175168,9228
1779384084,3707334656,133975175168,9248
1779384089,3446534144,133975175168,9248
1779384094,3229990912,133975175168,9244
1779384099,3035680768,133975175168,9276
1779384104,2916261888,133975175168,9280
1779384109,2810568704,133975175168,9224
1779384114,2743037952,133975175168,9232
1779384119,2647617536,133975175168,9244
1779384124,2612723712,133975175168,9280
1779384129,2557534208,133975175168,9284
