timestamp_epoch,mem_used_bytes,mem_total_bytes,python_rss_kb
1779383679,2795683840,133975175168,11808
1779383684,3193860096,133975175168,771292
1779383689,3514646528,133975175168,1109536
1779383694,4354658304,133975175168,1136688
1779383699,4824903680,133975175168,1136800
1779383704,5058453504,133975175168,1136812
1779383709,8849690624,133975175168,1136808
1779383714,7100248064,133975175168,1136800
1779383719,7153364992,133975175168,1136800
1779383724,7064981504,133975175168,1136808
1779383729,7019106304,133975175168,1136744
1779383734,6984155136,133975175168,1136828
1779383739,6943006720,133975175168,1136836
1779383744,6896631808,133975175168,1136812
1779383749,6871486464,133975175168,1136812
1779383754,6845878272,133975175168,1136792
1779383759,6819287040,133975175168,1136800
1779383764,6774894592,133975175168,1136836
1779383769,6741573632,133975175168,1136816
1779383774,6702329856,133975175168,1136788
1779383779,6661672960,133975175168,1136844
1779383784,6622449664,133975175168,1136800
1779383789,6574354432,133975175168,1136796
1779383794,6534250496,133975175168,1136824
1779383799,6487879680,133975175168,1136800
1779383804,6447423488,133975175168,1136804
1779383809,10367885312,133975175168,1136788
1779383814,11556356096,133975175168,1136840
1779383819,15691808768,133975175168,1136812
1779383824,17122406400,133975175168,1136788
1779383829,20136337408,133975175168,1136816
1779383834,21618528256,133975175168,1136808
1779383839,22125805568,133975175168,1137680
1779383844,22186299392,133975175168,1137660
1779383849,22243897344,133975175168,1137668
1779383854,22149443584,133975175168,1137660
1779383859,22108483584,133975175168,1137680
1779383864,22109626368,133975175168,1137780
1779383869,22097739776,133975175168,1137808
1779383874,22097924096,133975175168,1137752
1779383879,22097752064,133975175168,1137772
1779383884,22098456576,133975175168,1137772
1779383889,22296051712,133975175168,1137808
1779383894,22296825856,133975175168,1137776
1779383899,22296780800,133975175168,1137760
1779383904,22297104384,133975175168,1137796
1779383909,22296809472,133975175168,1137732
1779383914,22296776704,133975175168,1137792
1779383919,22296412160,133975175168,1137772
1779383924,22296371200,133975175168,1137752
1779383929,2446184448,133975175168,9272
1779383934,2446704640,133975175168,9260
1779383939,2445975552,133975175168,9272
1779383944,2445967360,133975175168,9276
1779383949,2445701120,133975175168,9272
1779383954,2442969088,133975175168,9220
1779383959,2442313728,133975175168,9304
