timestamp_iso,memory_total_bytes,memory_available_bytes,memory_used_bytes,server_pid,server_rss_kb,server_vsz_kb,server_stat
2026-05-21T14:59:50Z,133975175168,131715350528,2259824640,14777,3652,7880,S
2026-05-21T14:59:55Z,133975175168,131373121536,2602053632,14777,3656,7880,S
2026-05-21T15:00:00Z,133975175168,131369865216,2605309952,14777,620344,5252772,Rl
2026-05-21T15:00:05Z,133975175168,131046699008,2928476160,14777,980424,8131356,Rl
2026-05-21T15:00:10Z,133975175168,130124902400,3850272768,14777,1144484,8391796,Sl
2026-05-21T15:00:15Z,133975175168,129582661632,4392513536,14777,1144584,8391796,Sl
2026-05-21T15:00:20Z,133975175168,120602353664,13372821504,14777,1144584,8391796,Sl
2026-05-21T15:00:25Z,133975175168,113047674880,20927500288,14777,1144584,8391796,Sl
2026-05-21T15:00:30Z,133975175168,107750060032,26225115136,14777,1144584,8391796,Sl
2026-05-21T15:00:35Z,133975175168,102501056512,31474118656,14777,1144584,8391796,Sl
2026-05-21T15:00:40Z,133975175168,97139105792,36836069376,14777,1144584,8391796,Sl
2026-05-21T15:00:45Z,133975175168,107638128640,26337046528,14777,1144584,8391796,Sl
2026-05-21T15:00:50Z,133975175168,118809825280,15165349888,14777,1144584,8391796,Sl
2026-05-21T15:00:55Z,133975175168,118764253184,15210921984,14777,1144584,8391796,Sl
2026-05-21T15:01:00Z,133975175168,114955493376,19019681792,14777,1144584,8391796,Sl
2026-05-21T15:01:05Z,133975175168,112158216192,21816958976,14777,1144584,8391796,Sl
2026-05-21T15:01:10Z,133975175168,109946945536,24028229632,14777,1144584,8391796,Sl
2026-05-21T15:01:15Z,133975175168,107855306752,26119868416,14777,1144584,8391796,Sl
2026-05-21T15:01:20Z,133975175168,105936691200,28038483968,14777,1144584,8391796,Sl
2026-05-21T15:01:25Z,133975175168,104756977664,29218197504,14777,1144584,8391796,Sl
2026-05-21T15:01:30Z,133975175168,103349043200,30626131968,14777,1144584,8391796,Sl
2026-05-21T15:01:35Z,133975175168,101536817152,32438358016,14777,1144584,8391796,Sl
2026-05-21T15:01:40Z,133975175168,100103622656,33871552512,14777,1144584,8391796,Sl
2026-05-21T15:01:45Z,133975175168,99181383680,34793791488,14777,1144584,8391796,Sl
2026-05-21T15:01:50Z,133975175168,98513137664,35462037504,14777,1144584,8391796,Sl
2026-05-21T15:01:55Z,133975175168,97927036928,36048138240,14777,1144584,8391796,Sl
2026-05-21T15:02:00Z,133975175168,96621895680,37353279488,14777,1144584,8391796,Sl
2026-05-21T15:02:05Z,133975175168,95657304064,38317871104,14777,1144584,8391796,Sl
2026-05-21T15:02:10Z,133975175168,94879432704,39095742464,14777,1144584,8391796,Sl
2026-05-21T15:02:15Z,133975175168,93272637440,40702537728,14777,1144584,8391796,Sl
2026-05-21T15:02:21Z,133975175168,93010489344,40964685824,14777,1144584,8391796,Sl
2026-05-21T15:02:26Z,133975175168,93374566400,40600608768,14777,1144584,8391796,Sl
2026-05-21T15:02:31Z,133975175168,98408726528,35566448640,14777,1144584,8391796,Sl
2026-05-21T15:02:36Z,133975175168,129971216384,4003958784,14777,0,0,dead
2026-05-21T15:02:41Z,133975175168,130323709952,3651465216,14777,0,0,dead
2026-05-21T15:02:46Z,133975175168,130681278464,3293896704,14777,0,0,dead
2026-05-21T15:02:51Z,133975175168,130997248000,2977927168,14777,0,0,dead
2026-05-21T15:02:56Z,133975175168,131252334592,2722840576,14777,0,0,dead
2026-05-21T15:03:01Z,133975175168,131417530368,2557644800,14777,0,0,dead
2026-05-21T15:03:06Z,133975175168,131544653824,2430521344,14777,0,0,dead
2026-05-21T15:03:11Z,133975175168,131613978624,2361196544,14777,0,0,dead
2026-05-21T15:03:16Z,133975175168,131646312448,2328862720,14777,0,0,dead
2026-05-21T15:03:21Z,133975175168,131656527872,2318647296,14777,0,0,dead
2026-05-21T15:03:26Z,133975175168,131630174208,2345000960,14777,0,0,dead
2026-05-21T15:03:31Z,133975175168,131648438272,2326736896,14777,0,0,dead
2026-05-21T15:03:36Z,133975175168,131654938624,2320236544,14777,0,0,dead
2026-05-21T15:03:41Z,133975175168,131658551296,2316623872,14777,0,0,dead
2026-05-21T15:03:46Z,133975175168,131660111872,2315063296,14777,0,0,dead
2026-05-21T15:03:51Z,133975175168,131658129408,2317045760,14777,0,0,dead
2026-05-21T15:03:56Z,133975175168,131659022336,2316152832,14777,0,0,dead
2026-05-21T15:04:01Z,133975175168,131658948608,2316226560,14777,0,0,dead
