timestamp_iso,memory_total_bytes,memory_available_bytes,memory_used_bytes,server_pid,server_rss_kb,server_vsz_kb,server_stat
2026-05-21T14:53:43Z,133975175168,131730165760,2245009408,12070,3712,7880,S
2026-05-21T14:53:48Z,133975175168,131383324672,2591850496,12070,3716,7880,S
2026-05-21T14:53:53Z,133975175168,131364438016,2610737152,12070,629540,5261896,Rl
2026-05-21T14:53:58Z,133975175168,131066347520,2908827648,12070,980440,8131360,Rl
2026-05-21T14:54:03Z,133975175168,130140299264,3834875904,12070,1144488,8391800,Sl
2026-05-21T14:54:08Z,133975175168,129623072768,4352102400,12070,1144648,8391800,Sl
2026-05-21T14:54:13Z,133975175168,120796516352,13178658816,12070,1144648,8391800,Sl
2026-05-21T14:54:18Z,133975175168,113209085952,20766089216,12070,1144648,8391800,Sl
2026-05-21T14:54:23Z,133975175168,107722461184,26252713984,12070,1144648,8391800,Sl
2026-05-21T14:54:28Z,133975175168,102455934976,31519240192,12070,1144648,8391800,Sl
2026-05-21T14:54:33Z,133975175168,97166667776,36808507392,12070,1144648,8391800,Sl
2026-05-21T14:54:38Z,133975175168,101178159104,32797016064,12070,1144648,8391800,Sl
2026-05-21T14:54:43Z,133975175168,117871796224,16103378944,12070,1144648,8391800,Sl
2026-05-21T14:54:48Z,133975175168,117859115008,16116060160,12070,1144648,8391800,Sl
2026-05-21T14:54:53Z,133975175168,114808303616,19166871552,12070,1144648,8391800,Sl
2026-05-21T14:54:58Z,133975175168,111939538944,22035636224,12070,1144648,8391800,Sl
2026-05-21T14:55:03Z,133975175168,109512720384,24462454784,12070,1144648,8391800,Sl
2026-05-21T14:55:08Z,133975175168,107730026496,26245148672,12070,1144648,8391800,Sl
2026-05-21T14:55:13Z,133975175168,106011668480,27963506688,12070,1144648,8391800,Sl
2026-05-21T14:55:18Z,133975175168,104280064000,29695111168,12070,1144648,8391800,Sl
2026-05-21T14:55:24Z,133975175168,103119405056,30855770112,12070,1144648,8391800,Sl
2026-05-21T14:55:29Z,133975175168,101635567616,32339607552,12070,1144648,8391800,Sl
2026-05-21T14:55:34Z,133975175168,100166516736,33808658432,12070,1144648,8391800,Sl
2026-05-21T14:55:39Z,133975175168,99377750016,34597425152,12070,1144648,8391800,Sl
2026-05-21T14:55:44Z,133975175168,98229985280,35745189888,12070,1144648,8391800,Sl
2026-05-21T14:55:49Z,133975175168,97191464960,36783710208,12070,1144648,8391800,Sl
2026-05-21T14:55:54Z,133975175168,96262475776,37712699392,12070,1144648,8391800,Sl
2026-05-21T14:55:59Z,133975175168,95389376512,38585798656,12070,1144648,8391800,Sl
2026-05-21T14:56:04Z,133975175168,94270586880,39704588288,12070,1144648,8391800,Sl
2026-05-21T14:56:09Z,133975175168,92189999104,41785176064,12070,1144648,8391800,Sl
2026-05-21T14:56:14Z,133975175168,92132392960,41842782208,12070,1144648,8391800,Sl
2026-05-21T14:56:19Z,133975175168,92468649984,41506525184,12070,1144648,8391800,Sl
2026-05-21T14:56:24Z,133975175168,93917384704,40057790464,12070,1144648,8391800,Sl
2026-05-21T14:56:29Z,133975175168,128647016448,5328158720,12070,1076992,8388684,Rl
2026-05-21T14:56:34Z,133975175168,130093645824,3881529344,12070,0,0,dead
2026-05-21T14:56:39Z,133975175168,130369359872,3605815296,12070,0,0,dead
2026-05-21T14:56:44Z,133975175168,130608680960,3366494208,12070,0,0,dead
